id,japanese.kana,japanese.kanji,japanese.romaji,polish
1,わたし,私,wa.ta.shi,ja
2,くるま,車,ku.ru.ma,samochód
3,かぞく,家族,ka.zo.ku,rodzina
4,ちち,父,chi.chi,ojciec
,はは,母,ha.ha,matka
5,あなた,貴女,a.na.ta,ty
6,あのひと,あの人,a.no.hi.to,on/ona
7,せんせい,先生,se.n.se.i,nauczyciel
8,がくせい,学生,ga.ku.se.i,uczeń
9,かいしゃいん,会社員,ka.i.shia.i.n,pracownik firmy
10,ぎんこういん,銀行員,gi.n.kō.i.n,pracownik banku
11,いしゃ,医者,i.shia,lekarz
12,けんきょしゃ,検挙者,ke.n.kyō.shia,naukowiec
13,だいがく,大学,da.i.ga.ku,uniwersytet
14,びょういん,病院,byō.i.n,szpital
15,だれ,-,da.re,kto
16,ほん,本,ho.n,książka
17,じしょ,辞書,ji.sho,słownik
18,ざっし,雑誌,zas.shi,magazyn
19,しんぶん,新聞,shi.n.bu.n,gazeta
20,ノート,-,nō.to,zeszyt
21,てちょう,手帳,te.chō,organizer
22,めいし,名刺,me.i.shi,wizytówka
23,カート,,kā.to,karta kredytowa
24,えんぴつ,鉛筆,e.n.pi.tsu,ołówek
25,ボールペン,,bō.ru.pe.n,długopis
26,シャープペンシル,,shā.pu.pe.n.shi.ru,ołówek mechaniczny
27,かぎ,鍵,ka.gi,klucz
28,とけい,時計,to.ka.i,zegarek
29,かさ,傘,ka.sa,parasol
30,かばん,,ka.ba.n,torba
31,テレビ,,te.re.bi,telewizja
32,ラジオ,,ra.ji.o,radio
33,カメラ,,ka.me.ra,aparat
34,コンピューター,,ko.n.pyū.tā,komputer
35,つくえ,机,tsu.ku.e,biurko
36,いす,,i.su,krzesło